"Ano","Quantidade de Contribuintes","Número Médio Mensal Contrib","Valor  das Remunerações R$","Faixa de Idade","Estatística Pessoa Física","Sexo"
"2006","1898042","1072714,42","8076796965,34","Ignorada","Quantidade de Contribuintes","Ignorado"
"2007","1128678","597807,92","3779307846,65","Até 19 anos","Quantidade de Contribuintes","Masculino"
"2007","788082","403474,58","2390304599,28","Até 19 anos","Quantidade de Contribuintes","Feminino"
"2007","2515","1867,75","11785260,29","Até 19 anos","Quantidade de Contribuintes","Ignorado"
"2007","4170252","2761134,33","24734432671,47","20 a 24 anos","Quantidade de Contribuintes","Masculino"
"2007","2872586","1874525,92","14879091744,06","20 a 24 anos","Quantidade de Contribuintes","Feminino"
"2007","5069","4015,92","31308807,96","20 a 24 anos","Quantidade de Contribuintes","Ignorado"
"2007","5084508","3704566,75","45145336762,44","25 a 29 anos","Quantidade de Contribuintes","Masculino"
"2007","3587034","2588552,58","27291783876,06","25 a 29 anos","Quantidade de Contribuintes","Feminino"
"2007","2585","2043,42","22050391,22","25 a 29 anos","Quantidade de Contribuintes","Ignorado"
"2007","4280962","3224695,08","47389375551,69","30 a 34 anos","Quantidade de Contribuintes","Masculino"
"2007","2991877","2237681,33","26396171109,66","30 a 34 anos","Quantidade de Contribuintes","Feminino"
"2007","3837","3032,17","35923731,64","30 a 34 anos","Quantidade de Contribuintes","Ignorado"
"2007","3639696","2784436,25","45616937923,31","35 a 39 anos","Quantidade de Contribuintes","Masculino"
"2007","2588714","1978598,50","23470807363,38","35 a 39 anos","Quantidade de Contribuintes","Feminino"
"2007","3336","2681,25","30935552,77","35 a 39 anos","Quantidade de Contribuintes","Ignorado"
"2007","3205325","2485642,17","45731494088,38","40 a 44 anos","Quantidade de Contribuintes","Masculino"
"2007","2328656","1810321,42","22022988758,03","40 a 44 anos","Quantidade de Contribuintes","Feminino"
"2007","2444","1989,75","20183288,96","40 a 44 anos","Quantidade de Contribuintes","Ignorado"
"2007","2591198","2019621,50","41011371552,38","45 a 49 anos","Quantidade de Contribuintes","Masculino"
"2007","1878511","1466655,92","18316175422,22","45 a 49 anos","Quantidade de Contribuintes","Feminino"
"2007","1888","1595,00","16071756,43","45 a 49 anos","Quantidade de Contribuintes","Ignorado"
"2007","1942341","1505161,58","32153245754,63","50 a 54 anos","Quantidade de Contribuintes","Masculino"
"2007","1358753","1055168,42","12555477306,14","50 a 54 anos","Quantidade de Contribuintes","Feminino"
"2007","1538","1282,50","12993147,01","50 a 54 anos","Quantidade de Contribuintes","Ignorado"
"2007","1204192","912549,33","18038881445,78","55 a 59 anos","Quantidade de Contribuintes","Masculino"
"2007","873187","680280,50","7163319407,09","55 a 59 anos","Quantidade de Contribuintes","Feminino"
"2007","1022","860,83","9317816,72","55 a 59 anos","Quantidade de Contribuintes","Ignorado"
"2007","612963","456636,17","7828549552,45","60 a 64 anos","Quantidade de Contribuintes","Masculino"
"2007","375976","273038,67","2731085310,21","60 a 64 anos","Quantidade de Contribuintes","Feminino"
"2007","418","351,67","3429132,11","60 a 64 anos","Quantidade de Contribuintes","Ignorado"
"2007","227435","163796,83","2727127101,45","65 a 69 anos","Quantidade de Contribuintes","Masculino"
"2007","119151","87822,50","865019293,95","65 a 69 anos","Quantidade de Contribuintes","Feminino"
"2007","162","130,00","1130995,83","65 a 69 anos","Quantidade de Contribuintes","Ignorado"
"2007","136431","102677,67","1632605747,91","70 anos e mais","Quantidade de Contribuintes","Masculino"
"2007","63808","46587,25","468995638,09","70 anos e mais","Quantidade de Contribuintes","Feminino"
"2007","221","149,00","1589084,96","70 anos e mais","Quantidade de Contribuintes","Ignorado"
